Nama Pennguna,Teks Ulasan,Rating,Waktu Ulasan,casefolding,cleaning,stopword_removal,tokenizing,stemming
oktavia Fania,sangat memuasakan sayang filter payleter nya gc ada,5,7/4/2025 4:10,sangat memuasakan sayang filter payleter nya gc ada,sangat memuasakan sayang filter payleter nya gc ada,sangat memuasakan sayang filter payleter nya gc,"['sangat', 'memuasakan', 'sayang', 'filter', 'payleter', 'nya', 'gc']",sangat puasa sayang filter payleter nya gc
Indra malau,"awal mula memang agak ribet, tapi setelah di pelajarin app dana paling simpel dan bisa buat transaksi kebanyak bank",5,7/4/2025 4:03,"awal mula memang agak ribet, tapi setelah di pelajarin app dana paling simpel dan bisa buat transaksi kebanyak bank",awal mula memang agak ribet tapi setelah di pelajarin app dana paling simpel dan bisa buat transaksi kebanyak bank,awal mula memang ribet pelajarin app dana paling simpel buat transaksi kebanyak bank,"['awal', 'mula', 'memang', 'ribet', 'pelajarin', 'app', 'dana', 'paling', 'simpel', 'buat', 'transaksi', 'kebanyak', 'bank']",awal mula memang ribet pelajarin app dana paling simpel buat transaksi banyak bank
Ippang Bone,sangat memuaskan,5,7/4/2025 3:48,sangat memuaskan,sangat memuaskan,sangat memuaskan,"['sangat', 'memuaskan']",sangat muas
Sanji San,"dana instant saya tidak mau muncul pdhl udah pake apk ini 2 tahun transaksi juga 20-30 jt perbulan, aneh sekali. konsultasi ke dana nya langsung di suruh hapus ini itu verifikasi ini itu gak ada hasil muakk bgt",1,7/4/2025 3:46,"dana instant saya tidak mau muncul pdhl udah pake apk ini 2 tahun transaksi juga 20-30 jt perbulan, aneh sekali. konsultasi ke dana nya langsung di suruh hapus ini itu verifikasi ini itu gak ada hasil muakk bgt",dana instant saya tidak mau muncul pdhl udah pake apk ini tahun transaksi juga jt perbulan aneh sekali konsultasi ke dana nya langsung di suruh hapus ini itu verifikasi ini itu gak ada hasil muakk bgt,dana instant mau muncul pdhl udah pake apk tahun transaksi jt perbulan aneh sekali konsultasi dana nya langsung suruh hapus verifikasi gak hasil muakk bgt,"['dana', 'instant', 'mau', 'muncul', 'pdhl', 'udah', 'pake', 'apk', 'tahun', 'transaksi', 'jt', 'perbulan', 'aneh', 'sekali', 'konsultasi', 'dana', 'nya', 'langsung', 'suruh', 'hapus', 'verifikasi', 'gak', 'hasil', 'muakk', 'bgt']",dana instant mau muncul pdhl udah pake apk tahun transaksi jt bulan aneh sekali konsultasi dana nya langsung suruh hapus verifikasi gak hasil muakk bgt
Riski26,halo kak kalo ada yang nomor nya tidak aktif lagi dana nya suruh bisa di buka lagi ya kak soalnya ada duit di dana itu sudah tidak aktif tolong suruh aktif kan lagi ya kak dari pada tidak terpakai,4,7/4/2025 3:44,halo kak kalo ada yang nomor nya tidak aktif lagi dana nya suruh bisa di buka lagi ya kak soalnya ada duit di dana itu sudah tidak aktif tolong suruh aktif kan lagi ya kak dari pada tidak terpakai,halo kak kalo ada yang nomor nya tidak aktif lagi dana nya suruh bisa di buka lagi ya kak soalnya ada duit di dana itu sudah tidak aktif tolong suruh aktif kan lagi ya kak dari pada tidak terpakai,halo kak kalo nomor nya aktif dana nya suruh buka kak soalnya duit dana aktif suruh aktif kan kak terpakai,"['halo', 'kak', 'kalo', 'nomor', 'nya', 'aktif', 'dana', 'nya', 'suruh', 'buka', 'kak', 'soalnya', 'duit', 'dana', 'aktif', 'suruh', 'aktif', 'kan', 'kak', 'terpakai']",halo kak kalo nomor nya aktif dana nya suruh buka kak soal duit dana aktif suruh aktif kan kak pakai
Yusufrahmat,"kecewa dengan pengaduan laporan tentang pengubahan nomor telepon yang katanya waktu kerja 1/2 hari tapi laporan saya sudah seminggu lebih sama sekali tidak ada jawaban dan penyelesaian solusi masalah,,,, live chat dan cs ke tika di hubungi tak ada respon",1,7/4/2025 3:44,"kecewa dengan pengaduan laporan tentang pengubahan nomor telepon yang katanya waktu kerja 1/2 hari tapi laporan saya sudah seminggu lebih sama sekali tidak ada jawaban dan penyelesaian solusi masalah,,,, live chat dan cs ke tika di hubungi tak ada respon",kecewa dengan pengaduan laporan tentang pengubahan nomor telepon yang katanya waktu kerja hari tapi laporan saya sudah seminggu lebih sama sekali tidak ada jawaban dan penyelesaian solusi masalah live chat dan cs ke tika di hubungi tak ada respon,kecewa pengaduan laporan pengubahan nomor telepon katanya waktu kerja hari laporan seminggu lebih sama sekali jawaban penyelesaian solusi masalah live chat cs tika hubungi tak respon,"['kecewa', 'pengaduan', 'laporan', 'pengubahan', 'nomor', 'telepon', 'katanya', 'waktu', 'kerja', 'hari', 'laporan', 'seminggu', 'lebih', 'sama', 'sekali', 'jawaban', 'penyelesaian', 'solusi', 'masalah', 'live', 'chat', 'cs', 'tika', 'hubungi', 'tak', 'respon']",kecewa adu lapor ubah nomor telepon kata waktu kerja hari lapor minggu lebih sama sekali jawab selesai solusi masalah live chat cs tika hubung tak respon
Kiki Resky,gimana cara login ke akun tanpa kede verifikasi akun premium saya.? padahal 1 bulan yg lalu saya bisa login cuma pakai pin sama muka,5,7/4/2025 3:43,gimana cara login ke akun tanpa kede verifikasi akun premium saya.? padahal 1 bulan yg lalu saya bisa login cuma pakai pin sama muka,gimana cara login ke akun tanpa kede verifikasi akun premium saya padahal bulan yg lalu saya bisa login cuma pakai pin sama muka,gimana cara login akun kede verifikasi akun premium padahal bulan yg lalu login cuma pakai pin sama muka,"['gimana', 'cara', 'login', 'akun', 'kede', 'verifikasi', 'akun', 'premium', 'padahal', 'bulan', 'yg', 'lalu', 'login', 'cuma', 'pakai', 'pin', 'sama', 'muka']",gimana cara login akun kede verifikasi akun premium padahal bulan yg lalu login cuma pakai pin sama muka
Arsik Aris,fitur dana cicil g keluar,2,7/4/2025 3:41,fitur dana cicil g keluar,fitur dana cicil g keluar,fitur dana cicil g keluar,"['fitur', 'dana', 'cicil', 'g', 'keluar']",fitur dana cicil g keluar
Kamirudin sigar Sigar,sengaja saya hanya berikan bintang 4 dikarenan saldo saya terbayarkan sendiri tanpa persetujuan dari saya,4,7/4/2025 3:39,sengaja saya hanya berikan bintang 4 dikarenan saldo saya terbayarkan sendiri tanpa persetujuan dari saya,sengaja saya hanya berikan bintang dikarenan saldo saya terbayarkan sendiri tanpa persetujuan dari saya,sengaja berikan bintang dikarenan saldo terbayarkan sendiri persetujuan,"['sengaja', 'berikan', 'bintang', 'dikarenan', 'saldo', 'terbayarkan', 'sendiri', 'persetujuan']",sengaja ikan bintang dikarenan saldo bayar sendiri tuju
Nurul Komariyah,fitur dana cicil gak ada,5,7/4/2025 3:38,fitur dana cicil gak ada,fitur dana cicil gak ada,fitur dana cicil gak,"['fitur', 'dana', 'cicil', 'gak']",fitur dana cicil gak
Mas Rian,tolong Aktifkan fitur dana cicil,5,7/4/2025 3:35,tolong aktifkan fitur dana cicil,tolong aktifkan fitur dana cicil,aktifkan fitur dana cicil,"['aktifkan', 'fitur', 'dana', 'cicil']",aktif fitur dana cicil
Afrizal Zheee,knpa di saya ga muncul iya ka dana cicil nya atau dana paylater mohon bantuannya,3,7/4/2025 3:26,knpa di saya ga muncul iya ka dana cicil nya atau dana paylater mohon bantuannya,knpa di saya ga muncul iya ka dana cicil nya atau dana paylater mohon bantuannya,knpa ga muncul iya ka dana cicil nya dana paylater mohon bantuannya,"['knpa', 'ga', 'muncul', 'iya', 'ka', 'dana', 'cicil', 'nya', 'dana', 'paylater', 'mohon', 'bantuannya']",knpa ga muncul iya ka dana cicil nya dana paylater mohon bantu
Ajun Ozil,"kenapa akun saya gak bisa pakai dana cicil,padahal udah memenuhi sarat",2,7/4/2025 3:23,"kenapa akun saya gak bisa pakai dana cicil,padahal udah memenuhi sarat",kenapa akun saya gak bisa pakai dana cicilpadahal udah memenuhi sarat,akun gak pakai dana cicilpadahal udah memenuhi sarat,"['akun', 'gak', 'pakai', 'dana', 'cicilpadahal', 'udah', 'memenuhi', 'sarat']",akun gak pakai dana cicilpadahal udah penuh sarat
Agus Marlino,"duit saya raib dgn sendiri 900rb dalam bentuk transaksi pulsa ke nomor asing secara otomatis. saya sudah melaporkan kerugian itu namun dana konfirmasi berminggu2 dan parahnya duit kita tetap tidak kembali. dana beralasan bahwa transaksi sy 3x berturut2 senilai 500rb, 300rb dan 100rb itu sudah terverifikasi, sementara sy gak pernah lakukan transaksi tersebut melainkan terjadi otomatis. aneh banget, dana tidak bisa menjamin uang kita. hati2 jgn menyimpan duit lebih dari 150 di dana. bakal aoutodbt",1,7/4/2025 3:16,"duit saya raib dgn sendiri 900rb dalam bentuk transaksi pulsa ke nomor asing secara otomatis. saya sudah melaporkan kerugian itu namun dana konfirmasi berminggu2 dan parahnya duit kita tetap tidak kembali. dana beralasan bahwa transaksi sy 3x berturut2 senilai 500rb, 300rb dan 100rb itu sudah terverifikasi, sementara sy gak pernah lakukan transaksi tersebut melainkan terjadi otomatis. aneh banget, dana tidak bisa menjamin uang kita. hati2 jgn menyimpan duit lebih dari 150 di dana. bakal aoutodbt",duit saya raib dgn sendiri rb dalam bentuk transaksi pulsa ke nomor asing secara otomatis saya sudah melaporkan kerugian itu namun dana konfirmasi berminggu dan parahnya duit kita tetap tidak kembali dana beralasan bahwa transaksi sy x berturut senilai rb rb dan rb itu sudah terverifikasi sementara sy gak pernah lakukan transaksi tersebut melainkan terjadi otomatis aneh banget dana tidak bisa menjamin uang kita hati jgn menyimpan duit lebih dari di dana bakal aoutodbt,duit raib dgn sendiri rb bentuk transaksi pulsa nomor asing otomatis melaporkan kerugian dana konfirmasi berminggu parahnya duit tetap dana beralasan transaksi sy x berturut senilai rb rb rb terverifikasi sy gak pernah lakukan transaksi tersebut terjadi otomatis aneh banget dana menjamin uang hati jgn menyimpan duit lebih dana bakal aoutodbt,"['duit', 'raib', 'dgn', 'sendiri', 'rb', 'bentuk', 'transaksi', 'pulsa', 'nomor', 'asing', 'otomatis', 'melaporkan', 'kerugian', 'dana', 'konfirmasi', 'berminggu', 'parahnya', 'duit', 'tetap', 'dana', 'beralasan', 'transaksi', 'sy', 'x', 'berturut', 'senilai', 'rb', 'rb', 'rb', 'terverifikasi', 'sy', 'gak', 'pernah', 'lakukan', 'transaksi', 'tersebut', 'terjadi', 'otomatis', 'aneh', 'banget', 'dana', 'menjamin', 'uang', 'hati', 'jgn', 'menyimpan', 'duit', 'lebih', 'dana', 'bakal', 'aoutodbt']",duit raib dgn sendiri rb bentuk transaksi pulsa nomor asing otomatis lapor rugi dana konfirmasi minggu parah duit tetap dana alas transaksi sy x turut nila rb rb rb verifikasi sy gak pernah laku transaksi sebut jadi otomatis aneh banget dana jamin uang hati jgn simpan duit lebih dana bakal aoutodbt
Sandria Cantika,Berharap fitur dana cicil dan instan di munculkan di dana saya😁😁😁,5,7/4/2025 3:16,berharap fitur dana cicil dan instan di munculkan di dana saya😁😁😁,berharap fitur dana cicil dan instan di munculkan di dana saya,berharap fitur dana cicil instan munculkan dana,"['berharap', 'fitur', 'dana', 'cicil', 'instan', 'munculkan', 'dana']",harap fitur dana cicil instan muncul dana
Dewi Aprilan,pokok nya dengan DANA semua jadi sangat mudah,5,7/4/2025 3:14,pokok nya dengan dana semua jadi sangat mudah,pokok nya dengan dana semua jadi sangat mudah,pokok nya dana semua jadi sangat mudah,"['pokok', 'nya', 'dana', 'semua', 'jadi', 'sangat', 'mudah']",pokok nya dana semua jadi sangat mudah
Abang Adel,saya pengen batuan untuk saya bisa minjang dana cicilan,5,7/4/2025 3:02,saya pengen batuan untuk saya bisa minjang dana cicilan,saya pengen batuan untuk saya bisa minjang dana cicilan,pengen batuan minjang dana cicilan,"['pengen', 'batuan', 'minjang', 'dana', 'cicilan']",ken batu minjang dana cicil
Bang Bismilucu046,mantap betul,5,7/4/2025 3:00,mantap betul,mantap betul,mantap betul,"['mantap', 'betul']",mantap betul
Linda Andriani,"hp saya hilang dan cara memindahkan akun dananya bagaimana tanpa harus OTP ke nomor yg lama, karna kan hpnya hilang. mohon di respon",4,7/4/2025 2:58,"hp saya hilang dan cara memindahkan akun dananya bagaimana tanpa harus otp ke nomor yg lama, karna kan hpnya hilang. mohon di respon",hp saya hilang dan cara memindahkan akun dananya bagaimana tanpa harus otp ke nomor yg lama karna kan hpnya hilang mohon di respon,hp hilang cara memindahkan akun dananya bagaimana otp nomor yg lama karna kan hpnya hilang mohon respon,"['hp', 'hilang', 'cara', 'memindahkan', 'akun', 'dananya', 'bagaimana', 'otp', 'nomor', 'yg', 'lama', 'karna', 'kan', 'hpnya', 'hilang', 'mohon', 'respon']",hp hilang cara pindah akun dana bagaimana otp nomor yg lama karna kan hpnya hilang mohon respon
Samsul Arifin,senang sekali bisa pakai aplikasi ini,5,7/4/2025 2:56,senang sekali bisa pakai aplikasi ini,senang sekali bisa pakai aplikasi ini,senang sekali pakai aplikasi,"['senang', 'sekali', 'pakai', 'aplikasi']",senang sekali pakai aplikasi
Mamah Rizieq,"saldo saya hilang oleh pembelian otomatis yang diluar kendali perangkat saya.padahal sudah aktifkan fitur protection dari DANA, tapi tetap saja jebol dan DANA susah untuk dihubungi CS nya hanya Robot yang balas dan saldo pun tidak pernah dikembalikan.susah banget untuk klaim nya.chat boot nya ga berguna.",1,7/4/2025 2:49,"saldo saya hilang oleh pembelian otomatis yang diluar kendali perangkat saya.padahal sudah aktifkan fitur protection dari dana, tapi tetap saja jebol dan dana susah untuk dihubungi cs nya hanya robot yang balas dan saldo pun tidak pernah dikembalikan.susah banget untuk klaim nya.chat boot nya ga berguna.",saldo saya hilang oleh pembelian otomatis yang diluar kendali perangkat sayapadahal sudah aktifkan fitur protection dari dana tapi tetap saja jebol dan dana susah untuk dihubungi cs nya hanya robot yang balas dan saldo pun tidak pernah dikembalikansusah banget untuk klaim nyachat boot nya ga berguna,saldo hilang pembelian otomatis diluar kendali perangkat sayapadahal aktifkan fitur protection dana tetap jebol dana susah dihubungi cs nya robot balas saldo pernah dikembalikansusah banget klaim nyachat boot nya ga berguna,"['saldo', 'hilang', 'pembelian', 'otomatis', 'diluar', 'kendali', 'perangkat', 'sayapadahal', 'aktifkan', 'fitur', 'protection', 'dana', 'tetap', 'jebol', 'dana', 'susah', 'dihubungi', 'cs', 'nya', 'robot', 'balas', 'saldo', 'pernah', 'dikembalikansusah', 'banget', 'klaim', 'nyachat', 'boot', 'nya', 'ga', 'berguna']",saldo hilang beli otomatis luar kendali perangkat sayapadahal aktif fitur protection dana tetap jebol dana susah hubung cs nya robot balas saldo pernah dikembalikansusah banget klaim nyachat boot nya ga guna
Putra Amir,"sangat bagus udah 3 tahun make, cuma belum ada dana cicil nya aja padahal udah sering transaksi",5,7/4/2025 2:44,"sangat bagus udah 3 tahun make, cuma belum ada dana cicil nya aja padahal udah sering transaksi",sangat bagus udah tahun make cuma belum ada dana cicil nya aja padahal udah sering transaksi,sangat bagus udah tahun make cuma dana cicil nya aja padahal udah sering transaksi,"['sangat', 'bagus', 'udah', 'tahun', 'make', 'cuma', 'dana', 'cicil', 'nya', 'aja', 'padahal', 'udah', 'sering', 'transaksi']",sangat bagus udah tahun make cuma dana cicil nya aja padahal udah sering transaksi
Rizki Maulana,knp yaaa setelah di update kok sya malah gbsa menggunakan dana cicil? sebelumya bisa knp skrg jadi gbsa anehh,5,7/4/2025 2:43,knp yaaa setelah di update kok sya malah gbsa menggunakan dana cicil? sebelumya bisa knp skrg jadi gbsa anehh,knp yaaa setelah di update kok sya malah gbsa menggunakan dana cicil sebelumya bisa knp skrg jadi gbsa anehh,knp yaaa update kok sya malah gbsa menggunakan dana cicil sebelumya knp skrg jadi gbsa anehh,"['knp', 'yaaa', 'update', 'kok', 'sya', 'malah', 'gbsa', 'menggunakan', 'dana', 'cicil', 'sebelumya', 'knp', 'skrg', 'jadi', 'gbsa', 'anehh']",knp yaaa update kok sya malah gbsa guna dana cicil sebelumya knp skrg jadi gbsa anehh
Pejuang RP Online,"upgrade ulang malah koneksi terputus, gak masuk lagi di dana entah apa yang salah dengan aplikasi ini",1,7/4/2025 2:33,"upgrade ulang malah koneksi terputus, gak masuk lagi di dana entah apa yang salah dengan aplikasi ini",upgrade ulang malah koneksi terputus gak masuk lagi di dana entah apa yang salah dengan aplikasi ini,upgrade ulang malah koneksi terputus gak masuk dana entah apa salah aplikasi,"['upgrade', 'ulang', 'malah', 'koneksi', 'terputus', 'gak', 'masuk', 'dana', 'entah', 'apa', 'salah', 'aplikasi']",upgrade ulang malah koneksi putus gak masuk dana entah apa salah aplikasi
Sifra Elvrida,kenapa fitur dana cicil tidak berlaku? padahal lunas dan tidak terlambat bayar dan akun premium sudah sering transaksi lewat dana. Mohon di perbaiki,4,7/4/2025 2:31,kenapa fitur dana cicil tidak berlaku? padahal lunas dan tidak terlambat bayar dan akun premium sudah sering transaksi lewat dana. mohon di perbaiki,kenapa fitur dana cicil tidak berlaku padahal lunas dan tidak terlambat bayar dan akun premium sudah sering transaksi lewat dana mohon di perbaiki,fitur dana cicil berlaku padahal lunas terlambat bayar akun premium sering transaksi lewat dana mohon perbaiki,"['fitur', 'dana', 'cicil', 'berlaku', 'padahal', 'lunas', 'terlambat', 'bayar', 'akun', 'premium', 'sering', 'transaksi', 'lewat', 'dana', 'mohon', 'perbaiki']",fitur dana cicil laku padahal lunas lambat bayar akun premium sering transaksi lewat dana mohon baik
sepkri lovers,mantab,5,7/4/2025 2:27,mantab,mantab,mantab,['mantab'],mantab
Jeffry Setiawan,Mantap,5,7/4/2025 2:21,mantap,mantap,mantap,['mantap'],mantap
Dakwah Channel,akun saya di retas saldo saya hilang sudah melapor tapi tidak ada penanganan dari pihak dana,1,7/4/2025 2:20,akun saya di retas saldo saya hilang sudah melapor tapi tidak ada penanganan dari pihak dana,akun saya di retas saldo saya hilang sudah melapor tapi tidak ada penanganan dari pihak dana,akun retas saldo hilang melapor penanganan pihak dana,"['akun', 'retas', 'saldo', 'hilang', 'melapor', 'penanganan', 'pihak', 'dana']",akun retas saldo hilang lapor tangan pihak dana
Muhammad Ryan06,semoga saja bisa di cairkan.,5,7/4/2025 2:18,semoga saja bisa di cairkan.,semoga saja bisa di cairkan,semoga cairkan,"['semoga', 'cairkan']",moga cair
Riski Novriansyah,apalah aplikasi ini orang gak pakek dana viz ee malah tepakai dana viz sendiri rusak sudah nih aplikasi tlong di benerin dong,1,7/4/2025 2:15,apalah aplikasi ini orang gak pakek dana viz ee malah tepakai dana viz sendiri rusak sudah nih aplikasi tlong di benerin dong,apalah aplikasi ini orang gak pakek dana viz ee malah tepakai dana viz sendiri rusak sudah nih aplikasi tlong di benerin dong,apalah aplikasi orang gak pakek dana viz ee malah tepakai dana viz sendiri rusak nih aplikasi tlong benerin dong,"['apalah', 'aplikasi', 'orang', 'gak', 'pakek', 'dana', 'viz', 'ee', 'malah', 'tepakai', 'dana', 'viz', 'sendiri', 'rusak', 'nih', 'aplikasi', 'tlong', 'benerin', 'dong']",apa aplikasi orang gak pakek dana viz ee malah tepakai dana viz sendiri rusak nih aplikasi tlong benerin dong
Asep irpan Asep,bagus,5,7/4/2025 2:12,bagus,bagus,bagus,['bagus'],bagus
Malika Azzahra,"saya mengajukan pergantian nomor telepon akun dana karena di akun tersebut masih ada saldo saya. katanya akan selesai dalam kurun waktu 2 hari tetapi sudah 18 hari saya menunggu tak ada perkembangan pelayanan sangat jelek,alasan lonjakan email segala macam ,tolong kebijakannya!!!!😑😤",1,7/4/2025 2:06,"saya mengajukan pergantian nomor telepon akun dana karena di akun tersebut masih ada saldo saya. katanya akan selesai dalam kurun waktu 2 hari tetapi sudah 18 hari saya menunggu tak ada perkembangan pelayanan sangat jelek,alasan lonjakan email segala macam ,tolong kebijakannya!!!!😑😤",saya mengajukan pergantian nomor telepon akun dana karena di akun tersebut masih ada saldo saya katanya akan selesai dalam kurun waktu hari tetapi sudah hari saya menunggu tak ada perkembangan pelayanan sangat jelekalasan lonjakan email segala macam tolong kebijakannya,mengajukan pergantian nomor telepon akun dana akun tersebut saldo katanya selesai kurun waktu hari hari menunggu tak perkembangan pelayanan sangat jelekalasan lonjakan email segala macam kebijakannya,"['mengajukan', 'pergantian', 'nomor', 'telepon', 'akun', 'dana', 'akun', 'tersebut', 'saldo', 'katanya', 'selesai', 'kurun', 'waktu', 'hari', 'hari', 'menunggu', 'tak', 'perkembangan', 'pelayanan', 'sangat', 'jelekalasan', 'lonjakan', 'email', 'segala', 'macam', 'kebijakannya']",aju ganti nomor telepon akun dana akun sebut saldo kata selesai kurun waktu hari hari tunggu tak kembang layan sangat jelekalasan lonjak email segala macam bijak
Tony Hidayat,mantap buat transaksi,5,7/4/2025 2:01,mantap buat transaksi,mantap buat transaksi,mantap buat transaksi,"['mantap', 'buat', 'transaksi']",mantap buat transaksi
Fahlepi Lepi,sangat senang karna apk nya resmi serta terlindung pokok nya oke bangat,5,7/4/2025 1:54,sangat senang karna apk nya resmi serta terlindung pokok nya oke bangat,sangat senang karna apk nya resmi serta terlindung pokok nya oke bangat,sangat senang karna apk nya resmi terlindung pokok nya oke bangat,"['sangat', 'senang', 'karna', 'apk', 'nya', 'resmi', 'terlindung', 'pokok', 'nya', 'oke', 'bangat']",sangat senang karna apk nya resmi lindung pokok nya oke bangat
Solo Solo,kenapa aplikasi dana saya eror dari kemarin.. gak bisa buat transaksi,1,7/4/2025 1:53,kenapa aplikasi dana saya eror dari kemarin.. gak bisa buat transaksi,kenapa aplikasi dana saya eror dari kemarin gak bisa buat transaksi,aplikasi dana eror kemarin gak buat transaksi,"['aplikasi', 'dana', 'eror', 'kemarin', 'gak', 'buat', 'transaksi']",aplikasi dana eror kemarin gak buat transaksi
Yanto Viivoo,sayang ga kebagian program beta,4,7/4/2025 1:52,sayang ga kebagian program beta,sayang ga kebagian program beta,sayang ga kebagian program beta,"['sayang', 'ga', 'kebagian', 'program', 'beta']",sayang ga bagi program beta
Zaldhi Rifancha,aplikasi dana saya tidak ada tampil dana cicil tolong di perbarui,1,7/4/2025 1:50,aplikasi dana saya tidak ada tampil dana cicil tolong di perbarui,aplikasi dana saya tidak ada tampil dana cicil tolong di perbarui,aplikasi dana tampil dana cicil perbarui,"['aplikasi', 'dana', 'tampil', 'dana', 'cicil', 'perbarui']",aplikasi dana tampil dana cicil baru
Henri Kardo,mntap,5,7/4/2025 1:50,mntap,mntap,mntap,['mntap'],mntap
Layur balap,sangat membantu,5,7/4/2025 1:50,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",sangat bantu
Deni Irawan,dulu enak banget pake dana kenapa sekarang ko susah padahal udh update terbaru hmmm,4,7/4/2025 1:50,dulu enak banget pake dana kenapa sekarang ko susah padahal udh update terbaru hmmm,dulu enak banget pake dana kenapa sekarang ko susah padahal udh update terbaru hmmm,dulu enak banget pake dana sekarang ko susah padahal udh update terbaru hmmm,"['dulu', 'enak', 'banget', 'pake', 'dana', 'sekarang', 'ko', 'susah', 'padahal', 'udh', 'update', 'terbaru', 'hmmm']",dulu enak banget pake dana sekarang ko susah padahal udh update baru hmmm
Rusydi Puma,"akun kena hack, sistem keamanan dana tidak terjamin",1,7/4/2025 1:45,"akun kena hack, sistem keamanan dana tidak terjamin",akun kena hack sistem keamanan dana tidak terjamin,akun kena hack sistem keamanan dana terjamin,"['akun', 'kena', 'hack', 'sistem', 'keamanan', 'dana', 'terjamin']",akun kena hack sistem aman dana jamin
Doni Ardiansya,udah bertahun² gak muncul² dana cicil ny di akun saya nih,5,7/4/2025 1:42,udah bertahun² gak muncul² dana cicil ny di akun saya nih,udah bertahun gak muncul dana cicil ny di akun saya nih,udah bertahun gak muncul dana cicil ny akun nih,"['udah', 'bertahun', 'gak', 'muncul', 'dana', 'cicil', 'ny', 'akun', 'nih']",udah tahun gak muncul dana cicil ny akun nih
Ambar Bari,Mantap 12 ❤❤❤❤❤,5,7/4/2025 1:41,mantap 12 ❤❤❤❤❤,mantap,mantap,['mantap'],mantap
D' Light,saya suka memakai dana ini tapi untuk pambuat aplikasi saya mohon tambahkan fitur keamanan seperti misalnya ada dana masuk dan kita harus nge konfirmasi dlu apakah benar kita yang isi dana atau bukan.... soalnya sekarang ada modus penipuan baru dengan alasan ngakunya katanya salah transfer dana ....padahal itu modus nya...jadi mohon tambahkan fitur konfirmasi jika ada dana masuk jadi kita bisa antara milih terima dan tolak,4,7/4/2025 1:41,saya suka memakai dana ini tapi untuk pambuat aplikasi saya mohon tambahkan fitur keamanan seperti misalnya ada dana masuk dan kita harus nge konfirmasi dlu apakah benar kita yang isi dana atau bukan.... soalnya sekarang ada modus penipuan baru dengan alasan ngakunya katanya salah transfer dana ....padahal itu modus nya...jadi mohon tambahkan fitur konfirmasi jika ada dana masuk jadi kita bisa antara milih terima dan tolak,saya suka memakai dana ini tapi untuk pambuat aplikasi saya mohon tambahkan fitur keamanan seperti misalnya ada dana masuk dan kita harus nge konfirmasi dlu apakah benar kita yang isi dana atau bukan soalnya sekarang ada modus penipuan baru dengan alasan ngakunya katanya salah transfer dana padahal itu modus nyajadi mohon tambahkan fitur konfirmasi jika ada dana masuk jadi kita bisa antara milih terima dan tolak,suka memakai dana pambuat aplikasi mohon tambahkan fitur keamanan misalnya dana masuk nge konfirmasi dlu benar isi dana bukan soalnya sekarang modus penipuan baru alasan ngakunya katanya salah transfer dana padahal modus nyajadi mohon tambahkan fitur konfirmasi dana masuk jadi milih terima tolak,"['suka', 'memakai', 'dana', 'pambuat', 'aplikasi', 'mohon', 'tambahkan', 'fitur', 'keamanan', 'misalnya', 'dana', 'masuk', 'nge', 'konfirmasi', 'dlu', 'benar', 'isi', 'dana', 'bukan', 'soalnya', 'sekarang', 'modus', 'penipuan', 'baru', 'alasan', 'ngakunya', 'katanya', 'salah', 'transfer', 'dana', 'padahal', 'modus', 'nyajadi', 'mohon', 'tambahkan', 'fitur', 'konfirmasi', 'dana', 'masuk', 'jadi', 'milih', 'terima', 'tolak']",suka pakai dana pambuat aplikasi mohon tambah fitur aman misal dana masuk nge konfirmasi dlu benar isi dana bukan soal sekarang modus tipu baru alas ngakunya kata salah transfer dana padahal modus nyajadi mohon tambah fitur konfirmasi dana masuk jadi milih terima tolak
babatagheNesia official,tak ada menu dana cicil,1,7/4/2025 1:41,tak ada menu dana cicil,tak ada menu dana cicil,tak menu dana cicil,"['tak', 'menu', 'dana', 'cicil']",tak menu dana cicil
Robi Febrianto,"Dana Cicil saya gak ada ,,Saya setiap hari Bertransaksi, Dan dana saya Uda premium,,dn teman saya Baru aja pake dana , Dan dana cicil nya udah ada",1,7/4/2025 1:37,"dana cicil saya gak ada ,,saya setiap hari bertransaksi, dan dana saya uda premium,,dn teman saya baru aja pake dana , dan dana cicil nya udah ada",dana cicil saya gak ada saya setiap hari bertransaksi dan dana saya uda premiumdn teman saya baru aja pake dana dan dana cicil nya udah ada,dana cicil gak hari bertransaksi dana uda premiumdn teman baru aja pake dana dana cicil nya udah,"['dana', 'cicil', 'gak', 'hari', 'bertransaksi', 'dana', 'uda', 'premiumdn', 'teman', 'baru', 'aja', 'pake', 'dana', 'dana', 'cicil', 'nya', 'udah']",dana cicil gak hari transaksi dana uda premiumdn teman baru aja pake dana dana cicil nya udah
Adi Rahmat,dana cici saya tidak bisa muncul di aplikasi dana,3,7/4/2025 1:33,dana cici saya tidak bisa muncul di aplikasi dana,dana cici saya tidak bisa muncul di aplikasi dana,dana cici muncul aplikasi dana,"['dana', 'cici', 'muncul', 'aplikasi', 'dana']",dana cici muncul aplikasi dana
